time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-04T21:16:40.570Z,35.4315,-120.5751667,0.01,1.07,md,35,58,0.03387,0.09,nc,nc72391911,2015-02-05T00:35:05.221Z,"5km NNE of Santa Margarita, California",quarry blast
2015-02-04T21:04:25.000Z,65.038,-147.3253,0.7,1.7,ml,,,,0.92,ak,ak11502517,2015-02-04T21:28:32.723Z,"28km NE of Fairbanks, Alaska",earthquake
2015-02-04T20:55:06.660Z,34.225,-116.7573333,13.61,0.94,ml,17,119,0.1358,0.07,ci,ci37312896,2015-02-04T21:30:29.200Z,"9km ESE of Big Bear City, California",earthquake
2015-02-04T20:54:42.870Z,37.4898333,-118.8451667,8.57,0.86,md,21,113,0.09826,0.03,nc,nc72391906,2015-02-04T22:43:02.813Z,"20km SSE of Mammoth Lakes, California",earthquake
2015-02-04T20:44:24.360Z,37.322,-122.0985,0.01,1.69,md,13,78,0.01275,0.09,nc,nc72391901,2015-02-05T00:08:03.766Z,"3km S of Loyola, California",quarry blast
2015-02-04T20:42:16.890Z,36.7721667,-121.283,8.23,1.28,md,40,46,0.04652,0.07,nc,nc72391896,2015-02-05T09:22:05.346Z,"8km ESE of Ridgemark, California",earthquake
2015-02-04T20:33:20.000Z,63.9518,-148.8789,0.1,2,ml,,,,0.68,ak,ak11502509,2015-02-04T21:01:04.281Z,"11km NNE of Healy, Alaska",earthquake
2015-02-04T20:33:13.970Z,38.8241653,-122.7659988,2.77,0.55,md,11,76,0.007,0.02,nc,nc72391891,2015-02-04T21:01:05.146Z,"3km W of Cobb, California",earthquake
2015-02-04T20:31:40.400Z,36.2446667,-118.4145,9.33,1.31,ml,18,152,0.1235,0.17,ci,ci37312880,2015-02-04T21:27:40.310Z,"37km W of Olancha, California",earthquake
2015-02-04T20:30:41.000Z,64.5757,-150.3444,6.3,1.9,ml,,,,0.91,ak,ak11502506,2015-02-04T20:47:31.187Z,"49km SSE of Manley Hot Springs, Alaska",earthquake
2015-02-04T20:28:39.593Z,39.0627,-119.6895,10.1459,0.65,ml,8,90.54,0.075,0.2075,nn,nn00481019,2015-02-05T02:28:01.453Z,"3km ENE of Johnson Lane, Nevada",earthquake
2015-02-04T20:27:50.760Z,-24.1201,-67.1275,198.33,4.3,mb,,90,2.222,0.78,us,usc000tlqh,2015-02-05T04:30:20.322Z,"82km W of San Antonio de los Cobres, Argentina",earthquake
2015-02-04T20:27:48.085Z,39.0557,-119.6803,8.9131,0.96,ml,9,99.19,0.071,0.0538,nn,nn00480998,2015-02-04T21:58:19.436Z,"3km ENE of Johnson Lane, Nevada",earthquake
2015-02-04T20:17:04.640Z,39.0498333,-123.0833333,3.32,1.7,md,33,86,0.0506,0.05,nc,nc72391886,2015-02-05T02:10:02.988Z,"11km SE of Talmage, California",earthquake
2015-02-04T20:11:53.000Z,64.7708,-148.8886,17.7,1.6,ml,,,,0.31,ak,ak11502501,2015-02-04T20:33:23.668Z,"23km NNE of North Nenana, Alaska",earthquake
2015-02-04T20:07:29.800Z,33.6178333,-116.6768333,13.98,0.16,ml,16,89,0.04415,0.07,ci,ci37312872,2015-02-04T21:24:35.743Z,"7km N of Anza, California",earthquake
2015-02-04T20:07:28.000Z,63.5438,-147.355,0.1,1.6,ml,,,,0.66,ak,ak11502499,2015-02-04T20:33:23.083Z,"81km ENE of Cantwell, Alaska",earthquake
2015-02-04T19:58:35.000Z,62.5869,-148.1211,0,0.3,ml,,,,0.27,ak,ak11502498,2015-02-04T20:20:18.282Z,"95km NNE of Sutton-Alpine, Alaska",earthquake
2015-02-04T19:52:34.000Z,61.6676,-151.334,1,0.8,ml,,,,0.54,ak,ak11502497,2015-02-04T21:41:52.335Z,"69km W of Willow, Alaska",earthquake
2015-02-04T19:48:14.010Z,33.6233333,-116.6791667,13.88,0.37,ml,21,79,0.04567,0.12,ci,ci37312864,2015-02-04T20:44:18.692Z,"8km N of Anza, California",earthquake
2015-02-04T19:32:02.220Z,52.8608,160.4897,43.29,4.7,mb,,147,1.125,1.24,us,usc000tlpx,2015-02-05T03:34:28.866Z,"125km E of Petropavlovsk-Kamchatskiy, Russia",earthquake
2015-02-04T19:17:18.960Z,39.1778333,-123.1798333,7.26,2.62,md,32,40,0.09819,0.06,nc,nc72391866,2015-02-05T07:40:35.740Z,"3km NE of Ukiah, California",earthquake
2015-02-04T19:15:34.000Z,68.1642,-145.4806,6.4,2.6,ml,,,,0.97,ak,ak11502493,2015-02-05T03:18:08.347Z,"4km NNE of Arctic Village, Alaska",earthquake
2015-02-04T19:04:00.184Z,37.1773,-116.7377,15.631,1.39,ml,14,144.95,0.225,0.1117,nn,nn00480992,2015-02-04T19:20:36.526Z,"29km N of Beatty, Nevada",earthquake
2015-02-04T18:54:28.076Z,39.3942,-119.8116,4.5536,0.67,ml,11,96.19,0.037,0.1401,nn,nn00481018,2015-02-04T21:50:14.407Z,"15km S of Reno, Nevada",earthquake
2015-02-04T18:49:47.200Z,36.6061,-98.4374,4.257,2.6,ml,,110,,0.59,us,usc000tlq1,2015-02-05T02:52:13.179Z,"16km WNW of Helena, Oklahoma",earthquake
2015-02-04T18:20:48.040Z,36.814,-98.289,4.6,3.2,ml,,,,0.42,us,usc000tlld,2015-02-05T01:48:25.958Z,"8km NE of Cherokee, Oklahoma",earthquake
2015-02-04T18:20:14.140Z,38.8325005,-122.8098297,1.35,0.38,md,9,62,0.02094,0.03,nc,nc72391851,2015-02-04T19:09:01.818Z,"7km W of Cobb, California",earthquake
2015-02-04T18:05:03.060Z,38.8230019,-122.7926636,3.2,1.38,md,30,31,0.0135,0.03,nc,nc72391846,2015-02-04T18:50:03.658Z,"5km NNW of The Geysers, California",earthquake
2015-02-04T18:00:48.660Z,38.8056679,-122.8186646,3.76,0.31,md,13,117,0.008814,0.01,nc,nc72391841,2015-02-04T18:02:26.190Z,"6km WNW of The Geysers, California",earthquake
2015-02-04T17:47:37.840Z,37.5493333,-118.8018333,11.2,1.08,md,30,131,0.04604,0.04,nc,nc72391821,2015-02-05T05:30:03.062Z,"18km SE of Mammoth Lakes, California",earthquake
2015-02-04T17:43:35.420Z,35.682,-97.128,5.5,2.5,ml,,,,0.35,us,usc000tlss,2015-02-05T00:02:25.364Z,"6km ENE of Luther, Oklahoma",earthquake
2015-02-04T17:41:43.910Z,-0.1641,124.9869,48.51,5.2,mb,,42,2.38,0.94,us,usc000tlkz,2015-02-05T01:44:28.737Z,"117km SE of Modayag, Indonesia",earthquake
2015-02-04T17:33:38.540Z,38.7621651,-122.7251663,1.9,1.17,md,13,175,0.0127,0.07,nc,nc72391811,2015-02-04T21:09:08.023Z,"3km ESE of The Geysers, California",earthquake
2015-02-04T17:24:44.630Z,37.6575,-118.8705,4.06,0.24,md,10,159,0.02466,0.03,nc,nc72391806,2015-02-04T19:28:03.470Z,"9km E of Mammoth Lakes, California",earthquake
2015-02-04T17:24:37.000Z,38.8226662,-122.7633362,2.67,0.99,md,16,53,0.009334,0.03,nc,nc72391801,2015-02-04T17:52:05.917Z,"3km W of Cobb, California",earthquake
2015-02-04T17:24:32.490Z,38.8204994,-122.7651672,2.72,1.13,md,10,79,0.01062,0.02,nc,nc72391796,2015-02-04T20:22:03.191Z,"3km W of Cobb, California",earthquake
2015-02-04T17:13:38.020Z,38.8063333,-122.8148333,3.49,0.55,md,17,109,0.01149,0.03,nc,nc72391791,2015-02-04T22:58:02.481Z,"6km WNW of The Geysers, California",earthquake
2015-02-04T16:50:37.540Z,38.8168335,-122.7480011,7.27,0.82,md,9,198,0.0497,0.06,nc,nc72391781,2015-02-04T17:17:03.413Z,"2km WSW of Cobb, California",earthquake
2015-02-04T16:25:40.200Z,37.5481667,-118.8791667,8.21,0.36,md,9,247,0.05769,0.02,nc,nc71089569,2015-02-04T19:25:02.819Z,"13km SE of Mammoth Lakes, California",earthquake
2015-02-04T16:25:38.440Z,38.826,-122.8291667,3.15,0.14,md,13,61,0.00541,0.02,nc,nc72391771,2015-02-05T04:01:04.080Z,"8km NW of The Geysers, California",earthquake
2015-02-04T16:25:02.350Z,37.6583333,-118.8753333,4.01,0.29,md,14,135,0.02202,0.05,nc,nc72391776,2015-02-04T19:15:06.012Z,"8km E of Mammoth Lakes, California",earthquake
2015-02-04T16:15:42.060Z,-23.7461,-179.7233,516.26,4.6,mb,,113,6.323,1.21,us,usc000tljf,2015-02-05T02:37:21.551Z,"South of the Fiji Islands",earthquake
2015-02-04T16:14:10.190Z,-6.3293,146.8249,73.88,4.5,mb,,101,3.073,0.96,us,usc000tljd,2015-02-05T02:28:33.166Z,"46km NNW of Lae, Papua New Guinea",earthquake
2015-02-04T16:11:33.588Z,37.3204,-117.7069,7.0562,1.43,ml,8,133.73,0.1,0.0986,nn,nn00480971,2015-02-04T18:41:41.751Z,"54km ENE of Big Pine, California",earthquake
2015-02-04T16:09:45.930Z,41.7966667,-112.8038333,5.19,2.04,ml,19,199,0.027,0.17,uu,uu60100917,2015-02-05T07:46:41.940Z,"43km E of Park Valley, Utah",earthquake
2015-02-04T16:04:49.400Z,19.3615,-155.3088,30.7,1.5,Md,,36,0.02694946,0.1,hv,hv60846211,2015-02-04T19:21:33.563Z,"10km SW of Volcano, Hawaii",earthquake
2015-02-04T15:55:13.830Z,37.6576667,-118.8731667,4.78,1,md,19,133,0.02299,0.05,nc,nc72391766,2015-02-04T18:08:51.400Z,"8km E of Mammoth Lakes, California",earthquake
2015-02-04T15:45:21.000Z,61.9595,-152.0102,51.3,1.7,ml,,,,1.07,ak,ak11502283,2015-02-04T16:02:14.909Z,"106km WNW of Willow, Alaska",earthquake
2015-02-04T15:43:52.774Z,39.6139,-119.9147,9.1918,0.24,ml,5,111.82,0.037,0.1398,nn,nn00481015,2015-02-04T21:46:41.750Z,"6km WSW of Lemmon Valley, Nevada",earthquake
2015-02-04T15:41:31.010Z,46.0525,-122.1711667,10.14,0.89,md,22,120,0.03978,0.16,uw,uw60953087,2015-02-04T18:39:58.880Z,"26km NE of Amboy, Washington",earthquake
2015-02-04T15:37:01.460Z,47.7751667,-122.8305,11.97,0.41,md,7,194,0.06607,0.09,uw,uw60953082,2015-02-04T18:42:03.390Z,"13km WSW of Lofall, Washington",earthquake
2015-02-04T15:32:31.650Z,37.635,-118.881,8.64,0.2,md,16,95,0.01568,0.03,nc,nc72391761,2015-02-04T19:09:02.099Z,"8km E of Mammoth Lakes, California",earthquake
2015-02-04T15:31:15.000Z,64.7135,-148.3148,27.9,0.4,ml,,,,0.33,ak,ak11502281,2015-02-04T15:50:41.090Z,"20km SW of Ester, Alaska",earthquake
2015-02-04T15:30:06.777Z,41.855,-119.6426,7.7521,1.68,ml,5,223.9,0.151,0.1659,nn,nn00480968,2015-02-04T19:09:25.140Z,"73km SE of Lakeview, Oregon",earthquake
2015-02-04T15:28:19.830Z,33.603,-116.8111667,9.97,0.79,ml,27,50,0.04037,0.25,ci,ci37312856,2015-02-04T18:35:08.071Z,"14km WNW of Anza, California",earthquake
2015-02-04T15:24:48.212Z,41.8643,-119.642,9.1969,1.75,ml,5,222.38,0.145,0.1294,nn,nn00480969,2015-02-04T19:05:15.440Z,"73km SE of Lakeview, Oregon",earthquake
2015-02-04T15:24:41.182Z,36.2591,-116.4273,5.5766,0.91,ml,8,206.85,0.209,0.0784,nn,nn00480961,2015-02-04T15:57:53.702Z,"40km W of Pahrump, Nevada",earthquake
2015-02-04T15:24:34.580Z,38.810833,-122.8143311,3.23,0.19,md,8,171,0.01298,0.02,nc,nc72391756,2015-02-04T17:29:02.381Z,"6km NW of The Geysers, California",earthquake
2015-02-04T15:20:55.100Z,36.311,-98.1639,7.446,3.1,ml,,88,,0.61,us,usc000tlj7,2015-02-05T02:24:06.866Z,"24km W of Waukomis, Oklahoma",earthquake
2015-02-04T15:05:24.200Z,38.8165016,-122.7724991,3.05,1.04,md,6,114,0.01409,0.02,nc,nc72391751,2015-02-04T17:31:06.118Z,"4km W of Cobb, California",earthquake
2015-02-04T15:04:16.000Z,64.4266,-146.5708,12,1.4,ml,,,,0.32,ak,ak11502263,2015-02-04T15:26:59.162Z,"19km SE of Salcha, Alaska",earthquake
2015-02-04T14:56:13.000Z,60.2236,-141.3442,0,1.4,ml,,,,1.46,ak,ak11502262,2015-02-04T15:15:25.007Z,"62km ENE of Cape Yakataga, Alaska",earthquake
2015-02-04T14:55:07.570Z,36.0136667,-117.61,1.1,1.03,ml,15,98,0.07335,0.39,ci,ci37312848,2015-02-04T18:35:27.929Z,"28km ENE of Little Lake, California",earthquake
2015-02-04T14:48:21.090Z,38.8339996,-122.7973328,2.58,0.88,md,21,51,0.007013,0.02,nc,nc72391741,2015-02-04T17:02:06.900Z,"6km WNW of Cobb, California",earthquake
2015-02-04T14:44:33.740Z,33.3545,-116.9386667,5.69,0.65,ml,17,157,0.06363,0.13,ci,ci37312840,2015-02-04T20:32:33.274Z,"7km W of Palomar Observatory, California",earthquake
2015-02-04T14:43:01.700Z,19.3262,-155.016,1.5,1.4,Md,,212.4,0.08983153,0.11,hv,hv60846181,2015-02-04T19:10:48.475Z,"18km SSW of Leilani Estates, Hawaii",earthquake
2015-02-04T14:36:56.000Z,63.188,-149.3387,7.4,0.3,ml,,,,0.29,ak,ak11502261,2015-02-04T21:28:33.460Z,"29km SW of Cantwell, Alaska",earthquake
2015-02-04T14:23:27.000Z,61.6848,-150.3199,0.1,1.2,ml,,,,0.46,ak,ak11502255,2015-02-04T14:40:54.712Z,"16km WSW of Willow, Alaska",earthquake
2015-02-04T14:22:44.000Z,61.0675,-149.668,20.6,1.3,ml,,,,0.71,ak,ak11502252,2015-02-04T14:40:51.744Z,"20km SE of Anchorage, Alaska",earthquake
2015-02-04T14:20:36.200Z,44.7598,-112.7733,10.5,1.1,mc,8,147.599988192001,0.08623827,0.09,mb,mb15710783,2015-02-04T21:28:42.835Z,"19km NW of Lima, Montana",earthquake
2015-02-04T13:57:51.000Z,60.4363,-150.3763,53.4,2.6,ml,,,,0.96,ak,ak11502229,2015-02-04T22:00:33.606Z,"24km ESE of Sterling, Alaska",earthquake
2015-02-04T13:38:54.880Z,33.0541667,-116.4515,10.83,0.94,ml,20,62,0.1255,0.26,ci,ci37312832,2015-02-04T18:59:00.342Z,"14km E of Julian, California",earthquake
2015-02-04T13:35:08.140Z,48.2251667,-122.7611667,32.39,1.08,md,13,180,0.2447,0.25,uw,uw60953052,2015-02-04T18:45:52.234Z,"5km W of Coupeville, Washington",earthquake
2015-02-04T13:34:03.280Z,37.3511667,-118.5385,12.87,1.47,md,24,119,0.1996,0.05,nc,nc72391726,2015-02-04T18:51:12.152Z,"7km W of West Bishop, California",earthquake
2015-02-04T13:20:31.940Z,37.1956,-97.8983,5,3.6,mb_lg,,55,0.015,0.39,us,usc000tlha,2015-02-04T16:01:55.298Z,"12km ENE of Anthony, Kansas",earthquake
2015-02-04T13:20:19.000Z,18.3339,-67.5214,11,2.3,Md,5,316.8,0.44197112,0.38,pr,pr15035008,2015-02-04T17:52:39.497Z,"28km W of Rincon, Puerto Rico",earthquake
2015-02-04T12:56:50.930Z,-6.1623,112.9906,588.53,4.6,mb,,55,2.566,0.95,us,usc000tlh7,2015-02-04T20:59:32.910Z,"96km NNE of Krajan Pangkah Kulon, Indonesia",earthquake
2015-02-04T12:47:51.900Z,19.0492,-68.3154,73,3,Md,11,327.6,1.27830265,0.36,pr,pr15035005,2015-02-04T20:50:23.745Z,"52km N of Punta Cana, Dominican Republic",earthquake
2015-02-04T12:47:02.190Z,33.6013333,-116.818,9.6,0.49,ml,27,44,0.03789,0.23,ci,ci37312824,2015-02-04T18:59:38.600Z,"14km WNW of Anza, California",earthquake
2015-02-04T12:44:46.632Z,39.3937,-119.8166,5.0117,0.4,ml,12,93.69,0.041,0.1543,nn,nn00480962,2015-02-04T15:31:26.984Z,"15km S of Reno, Nevada",earthquake
2015-02-04T12:39:34.200Z,38.8354988,-122.7961655,2.61,1.2,md,21,59,0.005396,0.03,nc,nc72391701,2015-02-04T14:39:05.550Z,"6km WNW of Cobb, California",earthquake
2015-02-04T12:35:37.350Z,38.8131676,-122.8238297,2.69,0.82,md,16,79,0.005991,0.04,nc,nc72391696,2015-02-04T14:19:02.699Z,"7km NW of The Geysers, California",earthquake
2015-02-04T12:34:56.971Z,39.6314,-119.9012,5.7054,0.23,ml,5,118.87,0.052,0.0589,nn,nn00480965,2015-02-04T15:44:56.342Z,"5km W of Lemmon Valley, Nevada",earthquake
2015-02-04T12:34:27.600Z,19.0781,-68.277,29,3,Md,4,334.8,1.53701745,0.15,pr,pr15035007,2015-02-04T20:37:01.217Z,"56km NNE of Punta Cana, Dominican Republic",earthquake
2015-02-04T12:29:29.720Z,33.6245,-116.6826667,14.21,-0.09,ml,13,98,0.0449,0.1,ci,ci37312816,2015-02-04T20:29:44.077Z,"8km N of Anza, California",earthquake
2015-02-04T12:26:49.390Z,33.9603333,-116.3616667,8.55,1.3,ml,41,44,0.04378,0.17,ci,ci37312808,2015-02-04T20:23:45.850Z,"13km E of Desert Hot Springs, California",earthquake
2015-02-04T12:18:15.400Z,19.416,-155.629,3.2,1.3,Md,,118.8,0.00898315,0.12,hv,hv60846141,2015-02-04T18:00:13.189Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-02-04T11:58:14.000Z,63.1514,-149.5364,65.7,0.9,ml,,,,0.26,ak,ak11502208,2015-02-04T12:18:18.689Z,"39km SW of Cantwell, Alaska",earthquake
2015-02-04T11:50:53.470Z,32.3966667,-115.2583333,7.27,3.4,ml,24,116,0.04557,0.31,ci,ci37312792,2015-02-05T03:45:54.121Z,"8km NW of Delta, B.C., Mexico",earthquake
2015-02-04T11:50:20.210Z,33.6263333,-116.6793333,13.57,0.8,ml,31,55,0.05274,0.17,ci,ci37312784,2015-02-04T18:59:51.262Z,"8km N of Anza, California",earthquake
2015-02-04T11:48:50.400Z,33.6275,-116.6798333,15.63,0.11,ml,15,102,0.0733,0.12,ci,ci37312776,2015-02-04T19:00:09.549Z,"8km N of Anza, California",earthquake
2015-02-04T11:33:43.000Z,38.8274994,-122.8348312,3.6,0.57,md,9,88,0.00438,0,nc,nc72391691,2015-02-04T12:08:02.635Z,"8km NW of The Geysers, California",earthquake
2015-02-04T11:19:08.520Z,36.568,-121.0685,5.76,1.02,md,20,67,0.02553,0.07,nc,nc72391686,2015-02-04T23:21:08.224Z,"28km NE of Soledad, California",earthquake
2015-02-04T11:10:40.000Z,64.7351,-149.0725,21.2,1.8,ml,,,,0.87,ak,ak11502194,2015-02-04T11:26:46.873Z,"17km N of North Nenana, Alaska",earthquake
2015-02-04T10:59:28.350Z,10.6667,-62.8635,100.37,5.1,mb,,65,1.878,0.98,us,usc000tlgx,2015-02-04T12:38:01.123Z,"11km NNW of Yaguaraparo, Venezuela",earthquake
2015-02-04T10:52:47.000Z,59.285,-153.1677,117.6,2.9,ml,,,,0.7,ak,ak11502176,2015-02-04T18:55:15.900Z,"93km SW of Anchor Point, Alaska",earthquake
2015-02-04T10:51:03.810Z,37.6686667,-119.3403333,14.43,0.96,md,13,155,0.21,0.09,nc,nc72391666,2015-02-04T17:57:18.690Z,"22km ESE of Yosemite Valley, California",earthquake
2015-02-04T10:46:56.800Z,38.8461667,-122.7828333,3.52,0.33,md,6,255,0.006158,0.02,nc,nc72391661,2015-02-04T17:56:48.110Z,"5km WNW of Cobb, California",earthquake
2015-02-04T10:44:16.920Z,32.8326,83.4345,10,5.1,mb,,49,10.318,1.04,us,usc000tlgv,2015-02-04T18:46:56.330Z,"95km NW of Luring, China",earthquake
2015-02-04T10:34:41.000Z,60.3317,-141.2113,3.1,1.4,ml,,,,0.61,ak,ak11502175,2015-02-04T10:51:48.669Z,"73km ENE of Cape Yakataga, Alaska",earthquake
2015-02-04T10:30:35.000Z,61.6902,-150.3027,0.2,2.2,ml,,,,0.78,ak,ak11502169,2015-02-04T10:51:48.107Z,"15km WSW of Willow, Alaska",earthquake
2015-02-04T10:19:14.370Z,35.9333344,-90.7068329,0.64,2.15,md,16,71,0.3797,0.15,nm,nm60090456,2015-02-04T18:21:57.358Z,"9km ENE of Bono, Arkansas",earthquake
2015-02-04T10:13:17.760Z,38.8323333,-122.8091667,1.45,0.12,md,9,94,0.008953,0.02,nc,nc72391651,2015-02-04T17:51:16.840Z,"7km W of Cobb, California",earthquake
